EventID,Season,DayNum,WTeamID,LTeamID,WPoints,LPoints,ElapsedSeconds,EventTeamID,EventPlayerID,EventType
1,2010,7,1143,1293,0,0,0,1143,600578,sub_in
2,2010,7,1143,1293,0,0,0,1143,600584,sub_in
3,2010,7,1143,1293,0,0,0,1143,600585,sub_in
4,2010,7,1143,1293,0,0,10,1143,600581,miss2_lay
5,2010,7,1143,1293,0,0,10,1143,600581,reb_off
6,2010,7,1143,1293,2,0,14,1143,600581,made2_jump
7,2010,7,1143,1293,0,0,36,1293,602791,miss2_jump
8,2010,7,1143,1293,0,0,36,1293,602781,reb_off
9,2010,7,1143,1293,2,2,40,1293,602781,made2_jump
10,2010,7,1143,1293,0,0,56,1143,600577,assist
11,2010,7,1143,1293,4,2,56,1143,600581,made2_jump
12,2010,7,1143,1293,0,0,72,1293,602791,assist
13,2010,7,1143,1293,4,5,72,1293,602787,made3_jump
14,2010,7,1143,1293,0,0,90,1293,602787,block
15,2010,7,1143,1293,0,0,90,1143,600580,miss2_jump
16,2010,7,1143,1293,0,0,92,1293,602785,reb_def
17,2010,7,1143,1293,0,0,96,1143,600575,foul_pers
18,2010,7,1143,1293,0,0,96,1293,602781,miss1_free
19,2010,7,1143,1293,0,0,96,1143,600582,reb_def
20,2010,7,1143,1293,4,6,96,1293,602781,made1_free
21,2010,7,1143,1293,6,6,112,1143,600575,made2_jump
22,2010,7,1143,1293,0,0,128,1293,602796,miss2_jump
23,2010,7,1143,1293,0,0,128,1143,600582,reb_def
24,2010,7,1143,1293,0,0,134,1143,600577,miss3_jump
25,2010,7,1143,1293,0,0,134,1293,602787,reb_def
26,2010,7,1143,1293,0,0,151,1293,602785,foul_pers
27,2010,7,1143,1293,0,0,151,1293,602785,turnover
28,2010,7,1143,1293,0,0,165,1293,602785,foul_pers
29,2010,7,1143,1293,0,0,165,1293,602789,sub_in
30,2010,7,1143,1293,0,0,165,1293,602785,sub_out
31,2010,7,1143,1293,7,6,165,1143,600581,made1_free
32,2010,7,1143,1293,8,6,165,1143,600581,made1_free
33,2010,7,1143,1293,0,0,186,1293,602787,turnover
34,2010,7,1143,1293,0,0,187,1143,600582,steal
35,2010,7,1143,1293,0,0,195,1143,600581,foul_pers
36,2010,7,1143,1293,0,0,195,1143,600581,turnover
37,2010,7,1143,1293,8,8,226,1293,602787,made2_jump
38,2010,7,1143,1293,10,8,249,1143,600575,made2_dunk
39,2010,7,1143,1293,0,0,260,1293,602781,miss2_jump
40,2010,7,1143,1293,0,0,260,1143,600582,reb_def
41,2010,7,1143,1293,0,0,265,1143,600580,miss3_jump
42,2010,7,1143,1293,0,0,265,1293,602787,reb_def
43,2010,7,1143,1293,0,0,290,1293,602787,miss3_jump
44,2010,7,1143,1293,0,0,290,1143,600575,reb_def
45,2010,7,1143,1293,0,0,311,1143,600573,sub_in
46,2010,7,1143,1293,0,0,311,1143,600575,sub_out
47,2010,7,1143,1293,0,0,311,1143,600581,sub_out
48,2010,7,1143,1293,0,0,311,1293,602795,timeout_tv
49,2010,7,1143,1293,0,0,311,1143,600575,turnover
50,2010,7,1143,1293,0,0,338,1293,602787,assist
51,2010,7,1143,1293,0,0,338,1143,600577,foul_pers
52,2010,7,1143,1293,0,0,338,1293,602781,miss1_free
53,2010,7,1143,1293,0,0,338,1293,602787,reb_off
54,2010,7,1143,1293,10,10,338,1293,602781,made2_lay
55,2010,7,1143,1293,0,0,351,1143,600582,foul_pers
56,2010,7,1143,1293,10,11,351,1293,602781,made1_free
57,2010,7,1143,1293,10,12,351,1293,602781,made1_free
58,2010,7,1143,1293,0,0,360,1293,602789,foul_pers
59,2010,7,1143,1293,0,0,360,1143,600573,miss1_free
60,2010,7,1143,1293,0,0,360,1293,602789,reb_def
61,2010,7,1143,1293,11,12,360,1143,600573,made1_free
62,2010,7,1143,1293,0,0,377,1293,602789,assist
63,2010,7,1143,1293,11,14,377,1293,602781,made2_lay
64,2010,7,1143,1293,0,0,395,1143,600580,assist
65,2010,7,1143,1293,14,14,395,1143,600578,made3_jump
66,2010,7,1143,1293,0,0,410,1143,600578,foul_pers
67,2010,7,1143,1293,0,0,410,1143,600575,sub_in
68,2010,7,1143,1293,0,0,410,1293,602784,sub_in
69,2010,7,1143,1293,0,0,410,1293,602793,sub_in
70,2010,7,1143,1293,0,0,410,1143,600582,sub_out
71,2010,7,1143,1293,0,0,410,1293,602781,sub_out
72,2010,7,1143,1293,0,0,410,1293,602787,sub_out
73,2010,7,1143,1293,0,0,420,1143,600573,steal
74,2010,7,1143,1293,0,0,420,1293,602783,sub_in
75,2010,7,1143,1293,0,0,420,1293,602796,sub_out
76,2010,7,1143,1293,0,0,420,1293,602796,turnover
77,2010,7,1143,1293,0,0,430,1143,600580,turnover
78,2010,7,1143,1293,0,0,431,1293,602783,steal
79,2010,7,1143,1293,14,16,435,1293,602789,made2_dunk
80,2010,7,1143,1293,0,0,451,1293,602784,block
81,2010,7,1143,1293,0,0,451,1143,600575,miss2_jump
82,2010,7,1143,1293,0,0,452,1143,600573,reb_off
83,2010,7,1143,1293,0,0,453,1293,602789,foul_pers
84,2010,7,1143,1293,0,0,453,1143,600580,sub_out
85,2010,7,1143,1293,15,16,453,1143,600573,made1_free
86,2010,7,1143,1293,16,16,453,1143,600573,made1_free
87,2010,7,1143,1293,0,0,464,1143,600578,foul_pers
88,2010,7,1143,1293,0,0,491,1143,600581,sub_in
89,2010,7,1143,1293,0,0,491,1293,602786,sub_in
90,2010,7,1143,1293,0,0,491,1293,602787,sub_in
91,2010,7,1143,1293,0,0,491,1143,600577,sub_out
92,2010,7,1143,1293,0,0,491,1143,600578,sub_out
93,2010,7,1143,1293,0,0,491,1293,602789,sub_out
94,2010,7,1143,1293,0,0,491,1293,602791,sub_out
95,2010,7,1143,1293,0,0,491,1143,600586,timeout_tv
96,2010,7,1143,1293,0,0,491,1293,602783,turnover
97,2010,7,1143,1293,18,16,519,1143,600575,made2_jump
98,2010,7,1143,1293,0,0,551,1143,600585,steal
99,2010,7,1143,1293,0,0,551,1293,602783,turnover
100,2010,7,1143,1293,0,0,562,1293,602793,foul_pers
101,2010,7,1143,1293,0,0,569,1143,600584,assist
102,2010,7,1143,1293,20,16,569,1143,600585,made2_lay
103,2010,7,1143,1293,20,18,601,1293,602787,made2_lay
104,2010,7,1143,1293,0,0,617,1143,600584,assist
105,2010,7,1143,1293,22,18,617,1143,600581,made2_jump
106,2010,7,1143,1293,0,0,640,1293,602793,miss3_jump
107,2010,7,1143,1293,0,0,640,1143,600573,reb_def
108,2010,7,1143,1293,0,0,647,1143,600584,miss3_jump
109,2010,7,1143,1293,0,0,647,1143,600581,reb_off
110,2010,7,1143,1293,0,0,657,1293,602783,foul_pers
111,2010,7,1143,1293,0,0,657,1143,600582,sub_in
112,2010,7,1143,1293,0,0,657,1293,602781,sub_in
113,2010,7,1143,1293,0,0,657,1143,600573,sub_out
114,2010,7,1143,1293,0,0,657,1293,602786,sub_out
115,2010,7,1143,1293,0,0,665,1143,600585,miss2_lay
116,2010,7,1143,1293,0,0,665,1293,602795,reb_def
117,2010,7,1143,1293,0,0,691,1293,602784,miss2_jump
118,2010,7,1143,1293,0,0,691,1143,600582,reb_def
119,2010,7,1143,1293,0,0,697,1143,600584,miss2_jump
120,2010,7,1143,1293,0,0,697,1293,602784,reb_def
121,2010,7,1143,1293,0,0,706,1293,602781,miss2_jump
122,2010,7,1143,1293,0,0,706,1143,600584,reb_def
123,2010,7,1143,1293,0,0,710,1293,602787,foul_pers
124,2010,7,1143,1293,0,0,710,1143,600584,miss1_free
125,2010,7,1143,1293,0,0,710,1293,602784,reb_def
126,2010,7,1143,1293,0,0,710,1143,600580,sub_in
127,2010,7,1143,1293,0,0,710,1293,602791,sub_in
128,2010,7,1143,1293,0,0,710,1293,602796,sub_in
129,2010,7,1143,1293,0,0,710,1143,600585,sub_out
130,2010,7,1143,1293,0,0,710,1293,602783,sub_out
131,2010,7,1143,1293,0,0,710,1293,602793,sub_out
132,2010,7,1143,1293,0,0,716,1293,602791,turnover
133,2010,7,1143,1293,0,0,721,1143,600575,foul_pers
134,2010,7,1143,1293,0,0,721,1143,600573,sub_in
135,2010,7,1143,1293,0,0,721,1143,600577,sub_in
136,2010,7,1143,1293,0,0,721,1143,600575,sub_out
137,2010,7,1143,1293,0,0,721,1143,600584,sub_out
138,2010,7,1143,1293,0,0,721,1293,602795,timeout_tv
139,2010,7,1143,1293,0,0,721,1143,600575,turnover
140,2010,7,1143,1293,0,0,738,1293,602784,turnover
141,2010,7,1143,1293,0,0,753,1143,600582,miss2_jump
142,2010,7,1143,1293,0,0,753,1293,602796,reb_def
143,2010,7,1143,1293,0,0,759,1293,602787,turnover
144,2010,7,1143,1293,0,0,774,1143,600580,miss2_jump
